tratamento,tempo_min_mediana,tempo_min_iqr,taxa_sucesso_mediana,taxa_sucesso_iqr,testes_falhando_mediana,testes_falhando_iqr,complexidade_media_mediana,complexidade_media_iqr,complexidade_por100loc_mediana,complexidade_por100loc_iqr,duplicacao_pct_mediana,duplicacao_pct_iqr,mi_medio_mediana,mi_medio_iqr,loc_mediana,loc_iqr
ia,3.8637500000000005,1.2525833333333338,100.0,0.0,0.0,0.0,5.5,2.0,28.416666666666668,16.375,0.0,0.0,91.5,1.6499999999999915,22.0,5.5
manual,12.775833333333335,0.9129166666666659,100.0,0.0,0.0,0.0,5.5,2.0,28.67513611615245,6.433756805807622,0.0,0.0,87.89,2.907500000000013,19.5,3.25
