repo,stars,created_at,age_years,merged_prs
AUTOMATIC1111/stable-diffusion-webui,164678,2022-08-22T14:05:26Z,4.01,1875
huggingface/transformers,164473,2018-10-29T13:56:00Z,7.82,20302
jlevy/the-art-of-command-line,162178,2015-05-20T15:11:03Z,11.27,317
Snailclimb/JavaGuide,158051,2018-05-07T13:27:00Z,8.3,1272
langflow-ai/langflow,153718,2023-02-08T22:28:03Z,3.55,7395
langgenius/dify,153593,2023-04-12T07:40:24Z,3.37,13633
open-webui/open-webui,150028,2023-10-06T22:08:27Z,2.89,4127
Genymobile/scrcpy,148331,2017-11-21T18:00:27Z,8.76,153
msitarzewski/agency-agents,148217,2025-10-13T12:12:29Z,0.87,227
airbnb/javascript,148137,2012-11-01T23:13:50Z,13.81,822
langchain-ai/langchain,145075,2022-10-17T02:58:36Z,3.86,17308
x1xhlol/system-prompts-and-models-of-ai-tools,143154,2025-03-05T16:38:29Z,1.48,52
anthropics/claude-code,143090,2025-02-22T17:41:21Z,1.51,162
yangshun/tech-interview-handbook,142188,2016-07-05T05:00:48Z,10.14,494
vercel/next.js,141948,2016-10-05T23:32:51Z,9.89,28367
ytdl-org/youtube-dl,141040,2010-10-31T14:35:07Z,15.82,1646
clash-verge-rev/clash-verge-rev,140313,2023-11-21T18:24:03Z,2.76,1022
microsoft/PowerToys,138135,2019-05-01T17:44:02Z,7.32,7028
iptv-org/iptv,136790,2018-11-14T22:00:57Z,7.78,7002
golang/go,136473,2014-08-19T04:33:40Z,12.02,1
labuladong/fucking-algorithm,135470,2020-02-19T09:01:23Z,6.52,244
ripienaar/free-for-dev,135410,2015-03-18T21:06:26Z,11.44,3100
Shubhamsaboo/awesome-llm-apps,134596,2024-04-29T05:30:25Z,2.32,243
github/spec-kit,131686,2025-08-21T22:54:31Z,1.01,1449
excalidraw/excalidraw,130581,2020-01-02T01:04:43Z,6.65,3963
Comfy-Org/ComfyUI,130151,2023-01-17T03:15:56Z,3.61,3192
garrytan/gstack,129862,2026-03-11T21:22:45Z,0.46,312
krahets/hello-algo,129622,2022-11-04T11:08:34Z,3.81,996
farion1231/cc-switch,129568,2025-08-04T14:16:16Z,1.06,464
Chalarangelo/30-seconds-of-code,128835,2017-11-29T17:35:03Z,8.74,856
react/react-native,126421,2015-01-09T18:10:16Z,11.63,1003
ggml-org/llama.cpp,125799,2023-03-10T18:58:00Z,3.46,9884
kubernetes/kubernetes,125205,2014-06-06T22:56:04Z,12.22,65669
electron/electron,122728,2013-04-12T01:47:36Z,13.37,26854
shadcn-ui/ui,122211,2023-01-04T12:43:27Z,3.64,1460
rustdesk/rustdesk,121896,2020-09-28T15:36:08Z,5.91,4226
nextlevelbuilder/ui-ux-pro-max-skill,121349,2025-11-30T11:36:31Z,0.74,145
nodejs/node,119568,2014-11-26T19:57:11Z,11.75,13344
Hack-with-Github/Awesome-Hacking,119098,2016-03-30T15:47:10Z,10.41,41
openai/codex,118769,2025-04-13T05:37:54Z,1.37,10004
