repo,stars,total_releases,pushed_at,days_since_update
codecrafters-io/build-your-own-x,541294,0,2026-07-14T19:25:58Z,36
sindresorhus/awesome,497818,0,2026-08-18T13:28:50Z,1
public-apis/public-apis,465988,0,2026-08-19T21:44:19Z,0
freeCodeCamp/freeCodeCamp,454334,0,2026-08-19T20:39:53Z,0
EbookFoundation/free-programming-books,394794,0,2026-08-18T14:16:15Z,1
openclaw/openclaw,386805,234,2026-08-19T23:10:29Z,0
nilbuild/developer-roadmap,364941,1,2026-08-18T11:56:04Z,1
donnemartin/system-design-primer,364924,0,2026-03-20T01:52:19Z,152
