repo,stars,total_releases,pushed_at,days_since_update
home-assistant/core,89986,1000,2026-08-19T22:16:50Z,0
bitcoin/bitcoin,89944,68,2026-08-19T17:58:44Z,0
Stirling-Tools/Stirling-PDF,89871,186,2026-08-19T21:41:29Z,0
mermaid-js/mermaid,89847,206,2026-08-19T16:01:25Z,0
sherlock-project/sherlock,89831,2,2026-08-19T05:34:57Z,0
modelcontextprotocol/servers,89695,27,2026-08-18T16:04:56Z,1
microsoft/ML-For-Beginners,89546,0,2026-08-12T11:03:44Z,7
vllm-project/vllm,89470,103,2026-08-19T22:39:09Z,0
gohugoio/hugo,89453,381,2026-08-19T18:00:06Z,0
nexu-io/open-design,89323,28,2026-08-19T19:51:59Z,0
gin-gonic/gin,89082,29,2026-08-15T05:44:19Z,4
zed-industries/zed,88896,1000,2026-08-19T22:52:46Z,0
astral-sh/uv,88892,303,2026-08-19T21:21:05Z,0
infiniflow/ragflow,88836,53,2026-08-19T13:45:45Z,0
localsend/localsend,88748,26,2026-08-19T01:45:43Z,0
ChatGPTNextWeb/NextChat,88628,77,2026-08-11T02:07:25Z,8
addyosmani/agent-skills,88600,9,2026-08-14T18:51:33Z,5
MunGell/awesome-for-beginners,88529,0,2026-07-25T07:00:20Z,25
django/django,88484,0,2026-08-19T18:28:47Z,0
sveltejs/svelte,87977,635,2026-08-19T21:21:11Z,0
PaddlePaddle/PaddleOCR,87940,33,2026-07-22T11:59:34Z,28
syncthing/syncthing,87799,479,2026-08-19T22:41:50Z,0
ByteByteGoHq/system-design-101,87334,0,2025-04-04T17:30:30Z,502
odysseus-dev/odysseus,85751,0,2026-08-19T15:38:25Z,0
OpenCut-app/OpenCut,85204,3,2026-08-10T16:38:36Z,9
laravel/laravel,84828,227,2026-08-18T13:45:25Z,1
macrozheng/mall,84574,3,2026-05-14T08:32:05Z,97
OpenHands/OpenHands,84505,133,2026-08-19T23:17:07Z,0
bregman-arie/devops-exercises,84156,0,2025-12-27T14:22:30Z,235
DopplerHQ/awesome-interview-questions,84125,0,2024-07-29T14:21:23Z,751
realworld-apps/realworld,84107,0,2026-08-13T21:19:04Z,6
koala73/worldmonitor,83215,43,2026-08-19T22:01:32Z,0
